Type,Assembly Number,Revision,,,,,,,,,,
ECCCollectorPart,5847814,'1',,,,,,,,,,
Level,Find Number,Quantity,Reference Designator,Item,Revision,Description,UOM,Note,MPN,Manufacturer,Alternate,Substitute
1,1,1,,5344765,'5',"HNU Anterior Assembly, 1.5T UNO E",Each,, , ,,
2,7,6,,46-214941P2,'3',"FLAT WASHER, NYLON, M4",Each,,25821-46-214941P2,DL1,,
2,4,1,,6300234,'15',HNU FEED BOARD ANT NECK,Each,, , ,,
3,,2,"C4,C13",5389079,'2',Matching Capacitor SBT Kit,Each,, , ,,
4,12,0,,5357262-5,'3',"CAPACITOR 3PF, +-0.25 PF, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each,,38487-100B3R0CTN1500X,KYOCERA AVX,,
 , , , , , ,"CAPACITOR 3PF, +-0.25 PF, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,24163-DLC10B3R0CP152X,DALICAP CO LTD,,
 , , , , , ,"CAPACITOR 3PF, +-0.25 PF, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,28443-152CHB3R0CCL,EXXELIA,,
 , , , , , ,"CAPACITOR 3PF, +-0.25 PF, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,01521-ATC100B3R0CTN1500X,AMERICAN TECHNICAL CERAMICS,,
4,3,0,,5357262-8,'3',"CAPACITOR 4.7PF, +-0.25 PF, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each,,38487-100B4R7CTN1500X,KYOCERA AVX,,
 , , , , , ,"CAPACITOR 4.7PF, +-0.25 PF, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,01521-ATC100B4R7CTN1500X,AMERICAN TECHNICAL CERAMICS,,
 , , , , , ,"CAPACITOR 4.7PF, +-0.25 PF, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,24163-DLC10B4R7CP152X,DALICAP CO LTD,,
 , , , , , ,"CAPACITOR 4.7PF, +-0.25 PF, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,28443-152CHB4R7CCL,EXXELIA,,
4,22,0,,5357262-9,'3',"CAPACITOR 5.6PF, +-0.25 PF, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each,,28443-152CHB5R6CCL,EXXELIA,,
 , , , , , ,"CAPACITOR 5.6PF, +-0.25 PF, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,24163-DLC10B5R6CP152X,DALICAP CO LTD,,
 , , , , , ,"CAPACITOR 5.6PF, +-0.25 PF, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,01521-ATC100B5R6CTN1500X,AMERICAN TECHNICAL CERAMICS,,
 , , , , , ,"CAPACITOR 5.6PF, +-0.25 PF, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,38487-100B5R6CTN1500X,KYOCERA AVX,,
4,4,0,,5357262-21,'3',"CAPACITOR 30PF, 2PERCENT, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each,,28443-152CHB300GCL,EXXELIA,,
 , , , , , ,"CAPACITOR 30PF, 2PERCENT, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,38487-100B300GTN1500X,KYOCERA AVX,,
 , , , , , ,"CAPACITOR 30PF, 2PERCENT, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,01521-ATC100B300GTN1500X,AMERICAN TECHNICAL CERAMICS,,
 , , , , , ,"CAPACITOR 30PF, 2PERCENT, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,24163-DLC10B300GP152X,DALICAP CO LTD,,
4,10,0,,5357262-14,'3',"CAPACITOR 12PF, 2PERCENT, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each,,28443-152CHB120GCL,EXXELIA,,
 , , , , , ,"CAPACITOR 12PF, 2PERCENT, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,01521-ATC100B120GTN1500X,AMERICAN TECHNICAL CERAMICS,,
 , , , , , ,"CAPACITOR 12PF, 2PERCENT, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,38487-100B120GTN1500X,KYOCERA AVX,,
 , , , , , ,"CAPACITOR 12PF, 2PERCENT, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,24163-DLC10B120GP152X,DALICAP CO LTD,,
4,21,0,,5357262-18,'3',"CAPACITOR 22PF, 2PERCENT, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each,,28443-152CHB220GCL,EXXELIA,,
 , , , , , ,"CAPACITOR 22PF, 2PERCENT, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,01521-ATC100B220GTN1500X,AMERICAN TECHNICAL CERAMICS,,
 , , , , , ,"CAPACITOR 22PF, 2PERCENT, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,24163-DLC10B220GP152X,DALICAP CO LTD,,
 , , , , , ,"CAPACITOR 22PF, 2PERCENT, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,38487-100B220GTN1500X,KYOCERA AVX,,
4,1,0,,5357262-16,'3',"CAPACITOR 18PF, 2PERCENT, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each,,38487-100B180GTN1500X,KYOCERA AVX,,
 , , , , , ,"CAPACITOR 18PF, 2PERCENT, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,28443-152CHB180GCL,EXXELIA,,
 , , , , , ,"CAPACITOR 18PF, 2PERCENT, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,24163-DLC10B180GP152X,DALICAP CO LTD,,
 , , , , , ,"CAPACITOR 18PF, 2PERCENT, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,01521-ATC100B180GTN1500X,AMERICAN TECHNICAL CERAMICS,,
4,9,0,,5357262-15,'3',"CAPACITOR 15PF, 2PERCENT, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each,,28443-152CHB150GCL,EXXELIA,,
 , , , , , ,"CAPACITOR 15PF, 2PERCENT, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,24163-DLC10B150GP152X,DALICAP CO LTD,,
 , , , , , ,"CAPACITOR 15PF, 2PERCENT, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,38487-100B150GTN1500X,KYOCERA AVX,,
 , , , , , ,"CAPACITOR 15PF, 2PERCENT, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,01521-ATC100B150GTN1500X,AMERICAN TECHNICAL CERAMICS,,
4,15,0,,5357262-4,'3',"CAPACITOR 2.7PF, +-0.25 PF, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each,,28443-152CHB2R7CCL,EXXELIA,,
 , , , , , ,"CAPACITOR 2.7PF, +-0.25 PF, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,38487-100B2R7CTN1500X,KYOCERA AVX,,
 , , , , , ,"CAPACITOR 2.7PF, +-0.25 PF, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,24163-DLC10B2R7CP152X,DALICAP CO LTD,,
 , , , , , ,"CAPACITOR 2.7PF, +-0.25 PF, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,01521-ATC100B2R7CTN1500X,AMERICAN TECHNICAL CERAMICS,,
4,26,0,,5357262-27,'3',"CAPACITOR 51PF, 2PERCENT, 1000V, CERAMIC, SMT, NON-MAGNETIC",Each,,38487-100B510GTN1000X,KYOCERA AVX,,
 , , , , , ,"CAPACITOR 51PF, 2PERCENT, 1000V, CERAMIC, SMT, NON-MAGNETIC",Each, ,28443-102CHB510GCL,EXXELIA,,
 , , , , , ,"CAPACITOR 51PF, 2PERCENT, 1000V, CERAMIC, SMT, NON-MAGNETIC",Each, ,24163-DLC10B510GP102X,DALICAP CO LTD,,
 , , , , , ,"CAPACITOR 51PF, 2PERCENT, 1000V, CERAMIC, SMT, NON-MAGNETIC",Each, ,01521-ATC100B510GTN1000X,AMERICAN TECHNICAL CERAMICS,,
4,25,0,,5357262-13,'3',"CAPACITOR 10PF, 2PERCENT, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each,,24163-DLC10B100GP152X,DALICAP CO LTD,,
 , , , , , ,"CAPACITOR 10PF, 2PERCENT, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,01521-ATC100B100GTN1500X,AMERICAN TECHNICAL CERAMICS,,
 , , , , , ,"CAPACITOR 10PF, 2PERCENT, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,38487-100B100GTN1500X,KYOCERA AVX,,
 , , , , , ,"CAPACITOR 10PF, 2PERCENT, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,28443-152CHB100GCL,EXXELIA,,
4,13,0,,5357262-17,'3',"CAPACITOR 20PF, 2PERCENT, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each,,28443-152CHB200GCL,EXXELIA,,
 , , , , , ,"CAPACITOR 20PF, 2PERCENT, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,01521-ATC100B200GTN1500X,AMERICAN TECHNICAL CERAMICS,,
 , , , , , ,"CAPACITOR 20PF, 2PERCENT, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,24163-DLC10B200GP152X,DALICAP CO LTD,,
 , , , , , ,"CAPACITOR 20PF, 2PERCENT, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,38487-100B200GTN1500X,KYOCERA AVX,,
4,7,0,,5357262-24,'3',"CAPACITOR 39PF, 2PERCENT, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each,,28443-152CHB390GCL,EXXELIA,,
 , , , , , ,"CAPACITOR 39PF, 2PERCENT, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,01521-ATC100B390GTN1500X,AMERICAN TECHNICAL CERAMICS,,
 , , , , , ,"CAPACITOR 39PF, 2PERCENT, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,38487-100B390GTN1500X,KYOCERA AVX,,
 , , , , , ,"CAPACITOR 39PF, 2PERCENT, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,24163-DLC10B390GP152X,DALICAP CO LTD,,
4,20,0,,5357262-19,'3',"CAPACITOR 24PF, 2PERCENT, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each,,38487-100B240GTN1500X,KYOCERA AVX,,
 , , , , , ,"CAPACITOR 24PF, 2PERCENT, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,24163-DLC10B240GP152X,DALICAP CO LTD,,
 , , , , , ,"CAPACITOR 24PF, 2PERCENT, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,28443-152CHB240GCL,EXXELIA,,
 , , , , , ,"CAPACITOR 24PF, 2PERCENT, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,01521-ATC100B240GTN1500X,AMERICAN TECHNICAL CERAMICS,,
4,2,0,,5357262-26,'3',"CAPACITOR 47PF, 2PERCENT, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each,,38487-100B470GTN1500X,KYOCERA AVX,,
 , , , , , ,"CAPACITOR 47PF, 2PERCENT, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,28443-152CHB470GCL,EXXELIA,,
 , , , , , ,"CAPACITOR 47PF, 2PERCENT, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,01521-ATC100B470GTN1500X,AMERICAN TECHNICAL CERAMICS,,
 , , , , , ,"CAPACITOR 47PF, 2PERCENT, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,24163-DLC10B470GP152X,DALICAP CO LTD,,
4,23,0,,5357262-22,'3',"CAPACITOR 33PF, 2PERCENT, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each,,24163-DLC10B330GP152X,DALICAP CO LTD,,
 , , , , , ,"CAPACITOR 33PF, 2PERCENT, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,28443-152CHB330GCL,EXXELIA,,
 , , , , , ,"CAPACITOR 33PF, 2PERCENT, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,01521-ATC100B330GTN1500X,AMERICAN TECHNICAL CERAMICS,,
 , , , , , ,"CAPACITOR 33PF, 2PERCENT, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,38487-100B330GTN1500X,KYOCERA AVX,,
